Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Magomed Ankalaev,Wrestling,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gadzhimurad Antigulov,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shinsho Anzai,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Appelt,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Arantes,Muay Thai,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Araujo,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Arce,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski ,Wrestling,1.57,,,,,,,,,,X,1.57,,,,,,,,,,,1.57,,,,,,,,,
Antônio Arroyo,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Arroyo,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Askar Askarov,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril Asker ,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Askren,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Aspinall,Boxing,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Junior Assunção,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Assunção,BJJ,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Attonito,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivier Aubin-Mercier,Judo,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Aurélio,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessin Ayari,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottman Azaitar,Muay Thai,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Azure,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danaa Batgerel,Kickboxing,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Bäckström,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Seth Baczynski,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Bader,Wrestling,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Baeza,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Bagautinov,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melsik Baghdasaryan,Muay Thai,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siyar Bahadurzada,Karate,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ignacio Bahamondes,Kickboxing,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Shamar Bailey,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oluwale Bamgbose,TKD,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
Tae Hyun Bang,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Banuelos,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renan Barão,BJJ,,1.13,,,,,,,,,X,,1.13,,,,,,,,,,,1.13,,,,,,,,
Bryan Barberena,Freestyle,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edson Barboza,Muay Thai,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoni Barcelos,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humberto Bandenay,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Barnatt,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Barnett,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
David Baron,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Baroni,Wrestling,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Barreto,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-André Barriault,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francimar Barroso,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Barry,Kickboxing,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,
Enrique Barzola,Wrestling,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Batista,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Baudot,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Bautista,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Beal,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Bedford ,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirsad Bektić,Karate,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Belcher,Karate,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitor Belfort,Boxing,,,,,,,,1.36,,,X,,,,1.36,,,,,,,,,,1.36,,,,,,,
Joey Beltran,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Beltrán,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Benavidez,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Beneteau,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benítez,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Benoist,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Benoit,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Bermudez,Wrestling,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manny Bermudez,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Bessette,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rony Mariano Bezerra,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjan Bhullar,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Bibulatov,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bielkheden,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Birchak,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bisping,Karate,,,,,,2.22,,,,,X,,,2.22,,,,,,,,,,,,,,,2.22,,,
