Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Daron Cruickshank ,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Richard Crunkilton,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Crute,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominick Cruz,Wrestling,3.5,,,,,,,,,,X,3.5,,,,,,,,,,,3.5,,,,,,,,,
Márcio Cruz,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Culibao,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zak Cummings,Wrestling,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Cummins,Wrestling,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Cummo,Muay Thai,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Curran,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion Cuțelaba,Wrestling,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno da Silva,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrique da Silva,Muay Thai,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex da Silva Coelho,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Dalby,Karate,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Daley,Karate,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Damm,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarjis Danho,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Dantas,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Danzig,Freestyle,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beneil Dariush,BJJ,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chros Daukaus,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Daukaus,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Davis,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Davis,Boxing,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Davis,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakeem Dawodu,Muay Thai,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Dawson,Wrestling,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Day,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Day,TKD,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Douglas de Andrade,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geraldo de Freitas,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil De Fries,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris de la Rocha,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark de la Rosa,BJJ,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike De La Torre,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Del Rosario,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Tom DeBlass,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorgan De Castro,Kickboxing,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando Delgado,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roland Delorme,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Delos Reyes,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Dempsey,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Denis,Karate,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Dent,Karate,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony DeSouza,Wrestling,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Dewees,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyrille Diabaté,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Diakiese,Freestyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacran Dias,BJJ,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Diaz,BJJ,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Diaz,Wrestling,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessio Di Chirico,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Dillashaw,Wrestling,3.25,,,,,,,,,,X,3.25,,,,,,,,,,,3.25,,,,,,,,,
Russell Doane,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Dober,Muay Thai,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Dodson,Wrestling,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Doerksen,BJJ,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.B. Dollaway,Wrestling,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Donovan,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael dos Anjos,BJJ,,1.82,,,,,,,,,X,,1.82,,,,,,,,,,,1.82,,,,,,,,
Anderson dos Santos,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizeu Zaleski dos Santos,Capoeira/Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior dos Santos,Boxing,,,,,,,,1.88,,,X,,,,1.88,,,,,,,,,1.88,,,,,,,,
Danny Downes,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomasz Drwal,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Duffee,Boxing,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Duffy,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Evan Dunham,Wrestling,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Duquesnoy,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reuben Duran,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Durden,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merab Dvalishvili,Wrestling,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Dvořák,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Dwyer,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolando Dy,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Eastman,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Easton,TKD,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,
Brian Ebersole,Wrestling,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Eddiva,Kung Fu,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,
Frankie Edgar,Wrestling,1.64,,,,,,,,,,X,1.64,,,,,,,,,,,1.64,,,,,,,,,
Johnny Eduardo,Freestyle,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Edwards,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Edwards ,Freestyle,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yves Edwards,Freestyle,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Eilers,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Olav Einemo ,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Eklund,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Elkins,Wrestling,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ellenberger,Wrestling,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Elliott,Wrestling,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramazan Emeev,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Emerson,Karate,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Emmers,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Emmett,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Entwistle,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Erosa,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Escovedo,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efrain Escudero,Wrestling,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Espino,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Espinosa ,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Etim,Wrestling,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Evans,Freestyle,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Evans,Wrestling,1.56,,,,,,,,,,X,1.56,,,,,,,,,,,1.56,,,,,,,,,
Dan Evensen,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movsar Evloev,Wrestling,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ewell,Boxing,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Edward Faaloloto ,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urijah Faber,Wrestling,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Fabiński,Judo,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maiquel Falcão,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodie Farber,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Felder,TKD,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
Carlos Felipe,Boxing,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Ferguson ,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Ferguson,Wrestling,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Diego Ferreira,BJJ,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cezar Ferreira,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Ferrozzo,Freestyle,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Fickett,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deiveson Figueiredo,Wrestling,3.33,,,,,,,,,,X,3.33,,,,,,,,,,,3.33,,,,,,,,,
Edwin Figueroa,Kickboxing,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fili,Freestyle,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirko Filipović,Kickboxing,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
Luigi Fioravanti,Wrestling,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Fisher,Karate,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Fishgold,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Fitch ,Wrestling,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Fiziev,Muay Thai,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Fletcher,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Florian,BJJ,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caros Fodor,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Font,Freestyle,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Forbes,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jussier Formiga,Freestyle,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renee Forte,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Foster,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermes França,BJJ,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rich Franklin,Karate,,,,,,2.33,,,,,X,,,2.33,,,,,,,,,,,,,,,2.33,,,
Justin Frazier,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zane Frazier,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Freeman,Boxing,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Willamy Freire,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Frevola,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Frye,Wrestling,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Fryklund,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Katsuhisa Fujii,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riki Fukuda,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Fulton,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Funch,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Gaethje,Boxing,,,,,,,,2,,,X,,,,2,,,,,,,,,,,,,,,,,
Mitch Gagnon,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickey Gall,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manvel Gamburyan,Judo,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Gamrot,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamil Gamzatov,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciryl Gane,Muay Thai,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Garagorri,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Garcia,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Garcia,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Garcia,Freestyle,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafa García,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Garbrandt,Boxing,,,,,,,,1.4,,,X,,,,1.4,,,,,,,,,,1.4,,,,,,,
Pablo Garza,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelvin Gastelum,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Gaudinot,Karate,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiki Ghosn,Muay Thai,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Giagos,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Gibson ,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Gibson,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevin Giles,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor Gillespie,Wrestling,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Glenn,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Godbeer,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Goes,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Golm,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulysses Gomez,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takanori Gomi,Wrestling,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akihiro Gono,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Gonzaga,BJJ,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyman Good,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gooden,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Goodridge,Boxing,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Gordeau,Karate,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Gordon,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Gordon,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Gordon,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Goulet,Karate,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibault Gouti,Freestyle,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Gouveia,BJJ,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Grabowski,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kron Gracie,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Gracie,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolles Gracie,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royce Gracie,BJJ,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davey Grant,Kickboxing,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Grant,Kickboxing,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,
T. J. Grant,BJJ,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Gravely,TKD,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Bobby Green,Wrestling,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Green,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Greene,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Grice,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest Griffin,Freestyle,,,,2,,,,,,,X,,,,,,,,,2,,,,,,,,,,,2,
Jordan Griffin,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Griffin,Kung Fu,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Tyson Griffin,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Griggs,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Grispi,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Grove,BJJ,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Grove,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gruetzemacher,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vik Grujic,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Grundy,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Gugerty,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Guida,Wrestling,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Guillard,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo Guimarães,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Gunderson,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Gurgel,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Gurgel,BJJ,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Gustafsson,Boxing,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,
Chris Gutiérrez,Freestyle,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Guymon,Kickboxing,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Hackney,Karate,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Damir Hadzovic,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hague,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hall,Kickboxer,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hall,BJJ,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uriah Hall,Kickboxing,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Hallman,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piotr Hallmann,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Hamill,Wrestling,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hamilton,Wrestling,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Hamman,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasrat Haqparast,Kickboxing,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
Antoni Hardonk,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Hardy,TKD,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,
Greg Hardy,Freestyle,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlston Harris,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Harris,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Harris,Freestyle,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walt Harris,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Hartt,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Harvison,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Haseman,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hathaway,Freestyle,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Hawes,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Haynes,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Hazelett,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Head,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Healy,Freestyle,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Heath,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Hecht,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Hein,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Heinisch,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Held,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benson Henderson,TKD,,,,,,,,,3.67,,X,,,,,,,3.67,,,,,,,,,,3.67,,,,
Dan Henderson,Wrestling,1,,,,,,,,,,X,1,,,,,,,,,,,1,,,,,,,,,
Johny Hendricks,Wrestling,1.63,,,,,,,,,,X,1.63,,,,,,,,,,,1.63,,,,,,,,,
Luis Henrique,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Henry,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jai Herbert,Freestyle,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Herman,Wrestling,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Herman,Wrestling,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hermansson,Wrestling,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Hernandez,Wrestling,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Hernandez,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Herrera,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geane Herrera,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heath Herring,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Hess,Kung Fu,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Clint Hester,Boxing,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,
Jimy Hettes,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Hieron,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason High,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Hill,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamahal Hill,Freestyle,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
